Data Group,Run,Specimen/Site ID,Specimen or Site Description,Time Scan Start,Time Scan End,Midpoint of Scan Time,"Scan 
Context",Motion Correction,Include in Analysis?,Fiber ID,Da Vinci  Used,Sealing type ,"Bursting
left/ right*
[mmHg]",Other Notes,Energy Applied?,Energy Instrument,Power Delivered,Duration,Time Energy Was Applied,Delta Between Cautery Time and Scan Time,Data Channels Used,BG to Use,Reference Frame,Histopathology Registered?,Annotation Tool?,Deconvolution Performed?,Position Corrected?,,Raw data file,Background file,Deconvolution File,Text File,Video Path,Non-MC Corrected Positions,Refined Positions,Annotation File
Pork,1,,smoking test,11:17,11:18,11:17,Ex Vivo,Not Needed,,A008,Xi,,,baseline scan,,,,,,,"[CH1, CH2, CH3]",Bkg01,663,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_01.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run1.avi,,,
Pork,2,,smoking test,11:20,11:20,11:20,Ex Vivo,Not Needed,,A008,Xi,,,producing smoke,,,Setting 2,,,,"[CH1, CH2, CH3]",Bkg01,234,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_02.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run2.avi,,,
Pork,3,,smoking test,11:21,11:21,11:21,Ex Vivo,Not Needed,,A008,Xi,,,producing smoke,,,,,,,"[CH1, CH2, CH3]",Bkg01,481,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_03.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run3.avi,,,
Pork,4,,smoking test,11:22,11:22,11:22,Ex Vivo,Not Needed,,A008,Xi,,,producing smoke,,,,,,,"[CH1, CH2, CH3]",Bkg01,193,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_04.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run4.avi,,,
Pork,5,,smoking test,11:29,11:29,11:29,Ex Vivo,Not Needed,,A008,Xi,,,from not smoking to while smoking,,,,,,,"[CH1, CH2, CH3]",Bkg04,565,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_05.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run5.avi,,,
Pork,6,,smoking test,11:31,11:31,11:31,Ex Vivo,Not Needed,Discard,A008,Xi,,,,,,,,,,Discard,Bkg04,210,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pork,7,,smoking test,11:31,11:31,11:31,Ex Vivo,Not Needed,,A008,Xi,,,produce a lot of smoke,,,,,,,"[CH1, CH2, CH3]",Bkg04,161,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_07.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run7.avi,,,
Pork,8,,smoking test,11:36,11:36,11:36,Ex Vivo,Not Needed,,A008,Xi,,,producing smoke,,,Setting 4,,,,"[CH1, CH2, CH3]",Bkg09,171,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\2023_03_21_Pork_08.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\Background\Background09.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Pork\videos\2023_03_21_Pork_run8.avi,,,
Baseline Tissue (BA),1,,Kidney,13:15,13:17,13:16,Ex Vivo,Not Needed,,A008,Xi,,,baseline,,,,,,,"[CH1, CH2, CH3]",Bkg01,252,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_01.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run1.avi,,,
BA,2,,Kidney,,13:18,06:39,Ex Vivo,Not Needed,,A008,Xi,,,fat of Kidney (baseline),,,,,,,"[CH1, CH2, CH3]",Bkg01,145,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_02.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run2.avi,,,
